bib,position,gender,run_category,shoe_brand,confidence
25855,?,FEMININO,5K,Adidas,5.71
24970,?,FEMININO,5K,Nike,3.51
26456,?,FEMININO,5K,Nike,2.82
25501,?,FEMININO,5K,Adidas,0.96
24980,?,FEMININO,5K,Asics,1.32
25065,?,FEMININO,5K,Adidas,2.00
25075,?,FEMININO,5K,Olympikus,4.11
25965,?,FEMININO,5K,Adidas,4.22
26161,?,FEMININO,5K,Olympikus,1.98
26051,?,FEMININO,5K,Fila,1.76
26093,?,FEMININO,5K,Fila,1.20
24731,?,FEMININO,5K,Adidas,1.00
25221,?,FEMININO,5K,Nike,4.24
26092,?,FEMININO,5K,Nike,13.74
25069,?,FEMININO,5K,Olympikus,8.22
24942,?,FEMININO,5K,Nike,5.12
26253,?,FEMININO,5K,Olympikus,2.58
25879,?,FEMININO,5K,Adidas,2.54
25477,?,FEMININO,5K,On Running,5.19
25922,?,FEMININO,5K,Adidas,2.97
25108,?,FEMININO,5K,Nike,3.64
25147,?,FEMININO,5K,Adidas,1.37
26163,?,FEMININO,5K,Nike,3.83
24138,?,FEMININO,5K,Nike,2.55
25372,?,FEMININO,5K,Nike,4.61
26020,?,FEMININO,5K,Adidas,9.18
26002,?,FEMININO,5K,Adidas,11.19
24693,?,FEMININO,5K,Adidas,1.00
24728,?,FEMININO,5K,Nike,4.90
26380,?,FEMININO,5K,Nike,4.33
25755,?,FEMININO,5K,Olympikus,0.99
19069,46,FEMININO,10K,Adidas,1.00
19800,518,FEMININO,10K,Adidas,1.00
19690,1010,FEMININO,10K,Adidas,1.00
19839,1237,FEMININO,10K,Fila,0.97
19040,1467,FEMININO,10K,On Running,11.64
20714,1729,FEMININO,10K,Nike,0.99
20227,1846,FEMININO,10K,Olympikus,10.90
19395,1895,FEMININO,10K,Olympikus,1.00
22844,1898,FEMININO,10K,Fila,7.58
21033,Desqualificado,FEMININO,10K,Adidas,3.99
8099,?,FEMININO,21K,Adidas,56.45
8091,?,FEMININO,21K,Nike,53.94
8097,?,FEMININO,21K,Nike,18.83
8096,?,FEMININO,21K,Adidas,5.99
8087,?,FEMININO,21K,Nike,7.91
8093,?,FEMININO,21K,Nike,17.32
8048,?,FEMININO,21K,Adidas,4.99
17693,?,FEMININO,21K,Nike,9.71
8356,?,FEMININO,21K,Adidas,10.58
8094,?,FEMININO,21K,Nike,12.82
9043,?,FEMININO,21K,Adidas,18.85
12340,?,FEMININO,21K,Olympikus,15.37
11472,?,FEMININO,21K,Nike,1.85
12794,?,FEMININO,21K,Adidas,9.97
9406,?,FEMININO,21K,Nike,27.22
8090,?,FEMININO,21K,Adidas,56.42
9259,?,FEMININO,21K,Adidas,12.13
11666,?,FEMININO,21K,Adidas,7.01
13577,?,FEMININO,21K,Adidas,12.72
13360,?,FEMININO,21K,Nike,5.33
16785,?,FEMININO,21K,Nike,4.63
15062,?,FEMININO,21K,Nike,6.76
14112,?,FEMININO,21K,Nike,5.34
16848,?,FEMININO,21K,Adidas,1.88
11869,?,FEMININO,21K,Nike,17.73
13165,?,FEMININO,21K,Adidas,5.94
9039,?,FEMININO,21K,Adidas,8.08
8963,?,FEMININO,21K,Adidas,24.19
17856,?,FEMININO,21K,Olympikus,11.05
16216,?,FEMININO,21K,Olympikus,11.49
15302,?,FEMININO,21K,Nike,14.16
8907,?,FEMININO,21K,Adidas,1.86
17164,?,FEMININO,21K,Nike,3.82
8917,?,FEMININO,21K,Olympikus,24.40
